"Ticker","Nome","Negócios","Última (R$)","Variação"
"ESPA3","Espaçolaser","654.300","1,04","-2,80%"
"MATD3","Mater Dei","637.000","4,64","-4,72%"
"PDGR3","PDG Realty","622.000","1,90","+0,00%"
"BMGB4","Banco BMG","608.200","3,65","-1,62%"
"LIGT3","Light","594.500","4,80","-2,04%"
"ORVR3","Orizon","590.500","42,40","-0,89%"
"SEER3","Ser Educacional","587.400","5,30","-7,34%"
"NEOE3","Neoenergia","576.700","18,71","-1,47%"
"MEAL3","IMC Alimentação","576.000","1,46","-3,95%"
"SOJA3","Boa Safra Sementes","569.100","15,27","-1,55%"
"LAVV3","Lavvi Incorporadora","566.800","9,21","-0,97%"
"MDNE3","Moura Dubeux","549.100","13,22","-3,99%"
"USIM3","Usiminas","541.200","7,79","-2,38%"
"PNVL3","Dimed","533.200","9,89","-3,79%"
"VULC3","Vulcabras","516.300","15,80","+0,00%"
"FRAS3","Fras-le","488.400","20,35","-0,73%"
"HBRE3","HBR Realty","483.300","5,65","-1,22%"
"TRIS3","Trisul","460.400","5,03","-3,27%"
"MBLY3","Mobly","459.300","2,62","+0,00%"
"VLID3","Valid","450.300","16,08","-2,60%"
"TRAD3","Traders Club","436.200","0,58","-9,38%"
"PORT3","Wilson Sons","435.700","15,81","-1,25%"
"UNIP6","Unipar","431.000","50,44","-2,64%"
"ABCB4","Banco ABC Brasil","430.200","22,59","-1,61%"
"KRSA3","Kora Saúde","421.700","0,71","+1,43%"
"LOGG3","LOG CP","416.900","23,49","-0,09%"
"HBOR3","Helbor","416.900","2,27","-3,81%"
"WIZC3","Wiz Soluções","385.200","5,88","-2,33%"
"AGRO3","BrasilAgro","380.500","27,79","-1,45%"
"SEQL3","Sequoia Logística","361.800","4,38","-8,75%"
"JALL3","Jalles Machado","358.700","7,50","-2,09%"
"ITUB3","Itaú Unibanco","336.800","29,10","-0,68%"
"BRIT3","Brisanet","331.200","4,35","-0,23%"
"CSED3","Cruzeiro do Sul Educacional","320.100","3,96","-3,88%"
"SHUL4","Schulz","305.000","6,65","-3,34%"
"BMOB3","Bemobi","296.900","14,59","-3,19%"
"VITT3","Vittia","284.600","5,99","-4,01%"
"AGXY3","AgroGalaxy","283.900","1,43","-4,67%"
"PRNR3","Priner","271.200","10,58","-2,04%"
"DESK3","Desktop","266.700","15,65","-0,45%"
"SAPR3","Sanepar","261.800","5,05","-1,94%"
"RNEW4","Renova Energia","254.800","0,89","-3,26%"
"ROMI3","Indústrias ROMI","253.300","10,81","-2,44%"
"LUPA3","Lupatech","249.400","1,75","-2,78%"
"AMAR3","Lojas Marisa","236.200","1,44","-1,37%"
"AERI3","Aeris Energy","229.000","6,09","-8,01%"
"SYNE3","SYN","221.700","10,20","-0,10%"
"TASA4","Taurus","220.800","12,35","-2,83%"
"TAEE4","Taesa","219.300","11,63","-1,36%"
"RCSL3","Recrusul","216.300","2,74","-2,84%"
"MELK3","Melnick","202.700","3,65","-2,14%"
"RCSL4","Recrusul","198.000","1,06","-2,75%"
"ETER3","Eternit","191.100","5,96","-5,25%"
"VTRU3","VITRUBREPCOM","186.800","13,27","+1,84%"
"KLBN3","Klabin","163.900","4,29","-0,46%"
"TGMA3","Tegma","162.900","25,25","-2,85%"
"PFRM3","Profarma","157.900","5,43","+1,50%"
"BLAU3","Blau Farmacêutica","154.700","11,58","-3,90%"
"ALPK3","Estapar","140.000","3,33","-4,03%"
"POMO3","Marcopolo","138.000","5,13","-4,65%"
"CMIG3","CEMIG","134.900","13,19","-3,09%"
"RNEW3","Renova Energia","134.400","0,90","-2,17%"
"PINE4","Banco Pine","133.400","4,22","-0,47%"
"BRAP3","Bradespar","131.800","18,19","-3,45%"
"ELMD3","Eletromidia","123.600","18,22","-2,46%"
"TAEE3","Taesa","115.100","11,50","-1,03%"
"TFCO4","Track & Field","103.100","11,10","-3,48%"
"GOLL11","GOL","98.400","2,50","+25,00%"
"INEP3","Inepar","79.000","1,85","-1,07%"
"DMVF3","D1000 Varejo Farma","78.900","7,87","+2,08%"
"SANB3","Banco Santander","75.400","13,70","-0,65%"
"TCSA3","Tecnisa","72.300","2,15","-5,70%"
"WEST3","Westwing","69.200","0,92","-1,08%"
"SANB4","Banco Santander","68.900","15,20","-0,46%"
"ALLD3","Allied","68.800","8,39","-1,29%"
"DEXP3","Dexxos","66.400","10,14","-2,78%"
"RAPT3","Randon","60.000","10,27","-1,25%"
"PMAM3","Paranapanema","57.800","2,40","-0,83%"
"SHOW3","Time For Fun","55.600","1,64","+0,00%"
"AALR3","Alliança","50.800","12,41","-1,59%"
"EPAR3","Embpar Participações","48.400","5,95","-2,46%"
"ITSA3","Itaúsa","47.400","10,25","-0,77%"
"GOAU3","Metalúrgica Gerdau","45.500","11,15","-0,09%"
"UCAS3","Unicasa","42.400","2,25","-5,86%"
"BIOM3","Biomm","41.600","12,40","-2,13%"
"OIBR4","Oi","40.200","13,40","-3,74%"
"RPMG3","Refinaria de Manguinhos","40.100","3,07","-0,65%"
"INEP4","Inepar","40.000","1,80","-1,10%"
"EUCA4","Eucatex","39.900","16,21","-1,46%"
"LPSB3","Lopes","35.100","1,92","-1,54%"
"GGBR3","Gerdau","33.100","16,38","-3,02%"
"LAND3","Terra Santa","33.100","14,24","-1,73%"
"HAGA3","Haga","29.500","2,62","-5,07%"
"VIVR3","Viver","28.100","2,41","-0,41%"
"CAMB3","Cambuci","26.600","11,29","-1,48%"
"CSUD3","CSU Cardsystem","26.300","20,25","-2,17%"
"PDTC3","Padtec","26.300","1,88","-2,08%"
"IGTI3","Jereissati Participações","20.400","2,69","-2,18%"
"IGTI3","Iguatemi","20.400","2,69","-2,18%"
"LOGN3","Log-In","19.400","40,76","-2,25%"
"SGPS3","Springs","19.300","2,33","+2,19%"
"NINJ3","GetNinjas","18.800","4,58","-0,43%"
"DOTZ3","Dotz","14.500","6,41","-1,69%"
"CTNM4","Coteminas","14.100","0,93","+3,33%"
"BOBR4","Bombril","13.000","2,07","-2,82%"
"TPIS3","Triunfo","12.600","3,77","-2,58%"
"BAHI3","Bahema","12.400","6,20","-4,62%"
"CTSA4","Santanense","10.700","1,05","+0,96%"
"ENGI4","Energisa","10.500","8,01","-1,60%"
"AZEV11","Azevedo & Travassos","10.400","0,63","-5,97%"
"BMEB4","Banco Mercantil do Brasil","9.500","30,45","+2,18%"
"NUTR3","Nutriplant","9.000","4,43","-4,73%"
"DOHL4","Döhler","8.600","4,14","+2,73%"
"BEES3","Banestes","7.900","9,00","-0,99%"
"EALT4","Electro Aço Altona","7.300","11,40","-0,18%"
"BRKM3","Braskem","6.800","18,45","-2,89%"
"CEBR6","CEB","6.200","19,55","+0,77%"
"BPAC5","Banco BTG Pactual","5.800","8,19","-1,80%"
"WHRL4","Whirlpool","5.700","4,54","+0,00%"
"OSXB3","OSX Brasil","5.700","3,80","+0,53%"
"MNPR3","Minupar","5.600","13,15","-2,45%"
"TASA3","Taurus","5.500","12,54","-1,49%"
"BRSR3","Banrisul","5.500","12,44","-1,35%"
"HAGA4","Haga","5.500","1,17","-0,85%"
"ENGI3","Energisa","5.400","14,87","-0,54%"
"COCE5","Coelce","5.300","31,25","-2,34%"
"TELB4","Telebras","5.200","9,38","-1,26%"
"FHER3","Fertilizantes Heringer","5.100","4,05","-0,49%"
"RPAD5","Alfa Holdings","4.900","8,56","-0,47%"
"EQPA3","Equatorial Energia Pará","4.900","7,42","-2,24%"
"TELB3","Telebras","4.800","13,70","-2,14%"
"ALPA3","Alpargatas","4.800","8,92","-2,51%"
"SNSY3","Sansuy","4.700","12,69","-0,47%"
"LVTC3","WDC Networks","4.600","3,68","-1,08%"
"ALUP4","Alupar","4.300","10,30","-0,87%"
"ATOM3","ATOM","4.100","1,99","-1,49%"
"DEXP4","Dexxos","4.000","10,20","-0,39%"
"RSID3","Rossi Residencial","3.900","4,50","-1,10%"
"BPAC3","Banco BTG Pactual","3.700","15,29","-2,11%"
"VSTE3","LE LIS BLANC","3.400","13,80","-1,08%"
"RSUL4","Metalúrgica Riosulense","3.200","64,90","-0,15%"
"UNIP3","Unipar","3.100","50,12","-2,26%"
"TRPL3","Transmissão Paulista","3.000","32,10","-1,23%"
"CRPG5","Tronox Pigmentos","2.800","29,52","+0,03%"
"SCAR3","São Carlos","2.800","22,54","+0,31%"
"CEBR3","CEB","2.600","21,00","-0,99%"
"SNSY5","Sansuy","2.600","5,86","-1,35%"
"RDNI3","RNI","2.400","3,14","-0,63%"
"EKTR4","Elektro","2.200","39,50","-0,13%"
"ALUP3","Alupar","2.200","10,65","-1,02%"
"EUCA3","Eucatex","2.000","16,49","-5,23%"
"BEES4","Banestes","1.900","9,72","-0,41%"
"CGRA4","Grazziotin","1.700","25,51","-1,51%"
"CEBR5","CEB","1.500","18,08","-1,47%"
"HOOT4","Hotéis Othon","1.500","2,44","-1,61%"
"MTSA4","Metisa","1.300","43,97","-0,05%"
"EQMA3B","Equatorial Maranhão","1.300","25,50","+0,04%"
"REDE3","Rede Energia","1.300","6,93","-0,72%"
"BMEB3","Banco Mercantil do Brasil","1.200","26,54","-5,21%"
"MNDL3","Mundial","1.200","15,30","+5,52%"
"BAZA3","Banco da Amazônia","1.100","94,51","-3,41%"
"EMAE4","EMAE","1.000","50,32","-0,81%"
"OFSA3","Ourofino Saúde Animal","900","19,02","+0,00%"
"CTSA3","Santanense","900","2,36","-2,07%"
"MRSA3B","MRS Logística","700","26,57","-11,43%"
"PINE3","Banco Pine","700","5,39","-2,71%"
"ATMP3","Atma","700","1,99","+0,51%"
"CEEB3","COELBA","600","40,40","+0,00%"
"CGRA3","Grazziotin","600","24,96","-1,93%"
"PTNT4","Pettenati","600","6,42","+0,31%"
"CSRN3","COSERN","500","23,00","+0,04%"
"APER3","Alper","400","45,60","+1,27%"
"GEPA4","Rio Paranapanema Energia","400","26,00","-1,89%"
"CSRN5","COSERN","400","21,53","+0,00%"
"ESTR4","Estrela","400","1,91","+0,00%"
"MRSA5B","MRS Logística","300","26,56","+0,00%"
"BSLI4","Banco de Brasília","300","10,14","+3,47%"
"AFLT3","Afluente T","300","7,21","-0,28%"
"NORD3","Nordon","300","5,70","+0,00%"
"NEXP3","Brasil Brokers","300","4,13","-1,20%"
"AVLL3","Alphaville","300","3,60","+7,46%"
"CGAS5","Comgás","200","116,50","+2,64%"
"CLSC4","Celesc","200","76,80","-1,29%"
"MRSA6B","MRS Logística","200","26,56","-5,14%"
"PATI3","Panatlântica","200","25,00","+0,00%"
"BGIP4","Banese","200","22,50","+0,00%"
"BSLI3","Banco de Brasília","200","9,84","+2,61%"
"PTNT3","Pettenati","200","9,54","+0,00%"
"MERC4","Mercantil do Brasil Financeira","200","9,00","+0,00%"
"BMKS3","Monark","113","334,99","-2,25%"
"CGAS3","Comgás","100","105,01","-4,53%"
"TKNO4","Tekno","100","77,00","+10,00%"
"HBTS5","Habitasul","100","40,96","+0,00%"
"WLMM4","WLM","100","31,60","+0,93%"
"CTKA4","Karsten","100","19,00","-5,00%"
"MGEL4","Mangels","100","13,22","-2,07%"
"CBEE3","Ampla Energia","100","9,80","-2,00%"
"UNIP5","Unipar","3.900","51,40","-1,49%"
"FESA3","Ferbasa","3.200","13,64","-1,87%"
"PSVM11","PSVM11","900","6,00","-3,69%"
"HETA4","Hercules","600","5,30","-2,75%"
"TEKA4","Teka","500","31,00","+1,34%"
"BAUH4","Excelsior","300","79,49","+0,01%"
"GEPA3","Rio Paranapanema Energia","300","26,00","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","300","15,60","+1,30%"
"ENMT4","Energisa MT","200","78,68","-0,27%"
"BALM4","Baumer","200","10,25","-0,49%"
"PLAS3","Plascar","200","5,52","+0,00%"
"CLSC3","Celesc","100","72,00","+0,00%"
"CEDO4","Cedro Têxtil","100","22,35","+0,00%"
"BMIN3","Banco Mercantil de Investimentos","100","19,62","-1,90%"
"BRKM6","Braskem","100","15,49","+0,00%"
"EALT3","Electro Aço Altona","100","10,80","+0,00%"
"IGTI4","Jereissati Participações","100","9,56","-0,73%"
"IGTI4","Iguatemi","100","9,56","-0,73%"
"PINE11","Banco Pine","100","8,35","-1,76%"
"EQPA6","Equatorial Energia Pará","100","8,00","+14,29%"
"MWET4","Wetzel","7.400","11,00","+31,42%"
"WHRL3","Whirlpool","1.600","4,51","+0,22%"
"CRPG6","Tronox Pigmentos","500","29,99","+1,70%"
"CTNM3","Coteminas","500","7,99","-5,78%"
"CPLE5","Copel","200","14,00","+0,00%"
"LUXM4","Trevisa","100","14,96","+6,93%"
"MAPT3","Cemepe","100","4,80","+14,01%"
"FIEI3","Fica","4.100","11,00","+0,00%"
"BNBR3","Banco do Nordeste","400","111,50","-3,88%"
"JOPA3","Josapar","200","23,00","+9,52%"
"BALM3","Baumer","100","12,50","+0,08%"
"BDLL4","Bardella","100","10,00","+0,00%"
"MAPT4","Cemepe","1.600","6,10","-2,87%"
"FRIO3","Metalfrio","100","245,00","-2,00%"
"ENMT3","Energisa MT","100","85,00","+0,00%"
"CTKA3","Karsten","100","21,59","-0,05%"
"DMFN3","DM Financeira","100","12,50","-10,71%"
"GSHP3","General Shopping & Outlets","100","10,50","-0,66%"
"RPAD3","Alfa Holdings","400","8,73","-0,80%"
"BGIP3","Banese","200","24,17","-2,81%"
"WLMM3","WLM","100","25,51","+2,04%"
"BRSR5","Banrisul","100","16,99","+14,03%"
"BDLL3","Bardella","100","13,01","+0,00%"
"RPAD6","Alfa Holdings","100","8,75","+0,00%"
"EQPA7","Equatorial Energia Pará","100","8,24","+0,00%"
"CALI11","CALI11","100","6,00","+0,00%"
"DTCY3","Dtcom","1.100","6,29","+0,16%"
"PEAB3","Participações Aliança da Bahia","400","46,50","+1,09%"
"COCE3","Coelce","300","32,55","-1,09%"
"MOAR3","Monteiro Aranha","100","395,00","+1,28%"
"AHEB3","São Paulo Turismo","100","35,00","+0,00%"
"CEDO3","Cedro Têxtil","100","27,30","+0,00%"
"PEAB4","Participações Aliança da Bahia","500","46,01","-3,14%"
